Time & date,Observed (KW)
01-04-2017 00:30,44.5
01-04-2017 01:00,41.2
01-04-2017 01:30,41
01-04-2017 02:00,41
01-04-2017 02:30,40.7
01-04-2017 03:00,40.6
01-04-2017 03:30,40.4
01-04-2017 04:00,40.8
01-04-2017 04:30,41.3
01-04-2017 05:00,40.9
01-04-2017 05:30,43.5
01-04-2017 06:00,44
01-04-2017 06:30,43.2
01-04-2017 07:00,41.3
01-04-2017 07:30,41.5
01-04-2017 08:00,41.3
01-04-2017 08:30,41.5
01-04-2017 09:00,41
01-04-2017 09:30,42
01-04-2017 10:00,43.3
01-04-2017 10:30,42.7
01-04-2017 11:00,42.8
01-04-2017 11:30,42.4
01-04-2017 12:00,45.1
01-04-2017 12:30,43.4
01-04-2017 13:00,43.6
01-04-2017 13:30,43.3
01-04-2017 14:00,43.8
01-04-2017 14:30,43.3
01-04-2017 15:00,45.3
01-04-2017 15:30,44
01-04-2017 16:00,43.3
01-04-2017 16:30,43.3
01-04-2017 17:00,43.6
01-04-2017 17:30,43.3
01-04-2017 18:00,49.2
01-04-2017 18:30,48.5
01-04-2017 19:00,49.6
01-04-2017 19:30,50.8
01-04-2017 20:00,47.3
01-04-2017 20:30,52.3
01-04-2017 21:00,59.2
01-04-2017 21:30,58
01-04-2017 22:00,58.6
01-04-2017 22:30,55.9
01-04-2017 23:00,43
01-04-2017 23:30,42.5
02-04-2017 00:00,42.5
02-04-2017 00:30,42.6
02-04-2017 01:00,42.2
02-04-2017 01:30,42.4
02-04-2017 02:00,42.3
02-04-2017 02:30,43.1
02-04-2017 03:00,43.2
02-04-2017 03:30,44.1
02-04-2017 04:00,43.5
02-04-2017 04:30,42.8
02-04-2017 05:00,42.7
02-04-2017 05:30,42.7
02-04-2017 06:00,42.8
02-04-2017 06:30,45
02-04-2017 07:00,41.4
02-04-2017 07:30,41.4
02-04-2017 08:00,41.5
02-04-2017 08:30,41.3
02-04-2017 09:00,41.3
02-04-2017 09:30,42.8
02-04-2017 10:00,43
02-04-2017 10:30,42.4
02-04-2017 11:00,42.8
02-04-2017 11:30,42.2
02-04-2017 12:00,42
02-04-2017 12:30,43.7
02-04-2017 13:00,42
02-04-2017 13:30,42.2
02-04-2017 14:00,41.9
02-04-2017 14:30,42.5
02-04-2017 15:00,41.2
02-04-2017 15:30,41.4
02-04-2017 16:00,40.9
02-04-2017 16:30,41.1
02-04-2017 17:00,41.5
02-04-2017 17:30,41.1
02-04-2017 18:00,42.9
02-04-2017 18:30,46
02-04-2017 19:00,47.9
02-04-2017 19:30,47.6
02-04-2017 20:00,47.8
02-04-2017 20:30,47.8
02-04-2017 21:00,44.7
02-04-2017 21:30,44.6
02-04-2017 22:00,45.2
02-04-2017 22:30,44.4
02-04-2017 23:00,43.9
02-04-2017 23:30,42.9
03-04-2017 00:00,41
03-04-2017 00:30,40.7
03-04-2017 01:00,42.3
03-04-2017 01:30,40.8
03-04-2017 02:00,40.9
03-04-2017 02:30,40.9
03-04-2017 03:00,40.8
03-04-2017 03:30,41
03-04-2017 04:00,40.9
03-04-2017 04:30,40.9
03-04-2017 05:00,40.7
03-04-2017 05:30,137.3
03-04-2017 06:00,145.5
03-04-2017 06:30,156.5
03-04-2017 07:00,172.9
03-04-2017 07:30,185.1
03-04-2017 08:00,191.8
03-04-2017 08:30,195
03-04-2017 09:00,204.5
03-04-2017 09:30,209.5
03-04-2017 10:00,210.4
03-04-2017 10:30,211.4
03-04-2017 11:00,213.1
03-04-2017 11:30,211.8
03-04-2017 12:00,206.1
03-04-2017 12:30,218.9
03-04-2017 13:00,215
03-04-2017 13:30,208.9
03-04-2017 14:00,216.8
03-04-2017 14:30,216.7
03-04-2017 15:00,216.9
03-04-2017 15:30,222.4
03-04-2017 16:00,211.6
03-04-2017 16:30,195.5
03-04-2017 17:00,195.4
03-04-2017 17:30,191.2
03-04-2017 18:00,191.7
03-04-2017 18:30,155.4
03-04-2017 19:00,115.4
03-04-2017 19:30,104.1
03-04-2017 20:00,98
03-04-2017 20:30,95.6
03-04-2017 21:00,97.4
03-04-2017 21:30,97.6
03-04-2017 22:00,94.8
03-04-2017 22:30,84
03-04-2017 23:00,50.2
03-04-2017 23:30,44.5
04-04-2017 00:00,42.5
04-04-2017 00:30,42.1
04-04-2017 01:00,41.9
04-04-2017 01:30,42
04-04-2017 02:00,42
04-04-2017 02:30,41.7
04-04-2017 03:00,42.6
04-04-2017 03:30,41.9
04-04-2017 04:00,41.6
04-04-2017 04:30,41.5
04-04-2017 05:00,42.1
04-04-2017 05:30,137.2
04-04-2017 06:00,148.2
04-04-2017 06:30,159.4
04-04-2017 07:00,176.5
04-04-2017 07:30,191.6
04-04-2017 08:00,196.5
04-04-2017 08:30,198
04-04-2017 09:00,203.1
04-04-2017 09:30,206
04-04-2017 10:00,207
04-04-2017 10:30,217.8
04-04-2017 11:00,233
04-04-2017 11:30,227
04-04-2017 12:00,208.3
04-04-2017 12:30,223.6
04-04-2017 13:00,214.3
04-04-2017 13:30,209
04-04-2017 14:00,207.6
04-04-2017 14:30,208.4
04-04-2017 15:00,237.4
04-04-2017 15:30,226.6
04-04-2017 16:00,225.6
04-04-2017 16:30,218.3
04-04-2017 17:00,213.1
04-04-2017 17:30,198.3
04-04-2017 18:00,199.3
04-04-2017 18:30,153.8
04-04-2017 19:00,115.4
04-04-2017 19:30,106.5
04-04-2017 20:00,99.3
04-04-2017 20:30,99.8
04-04-2017 21:00,98.1
04-04-2017 21:30,97
04-04-2017 22:00,93.6
04-04-2017 22:30,91.8
04-04-2017 23:00,85.8
04-04-2017 23:30,52.2
05-04-2017 00:00,48.6
05-04-2017 00:30,48.7
05-04-2017 01:00,47.9
05-04-2017 01:30,48.3
05-04-2017 02:00,47.6
05-04-2017 02:30,47.6
05-04-2017 03:00,47.9
05-04-2017 03:30,43.3
05-04-2017 04:00,43
05-04-2017 04:30,43
05-04-2017 05:00,42.5
05-04-2017 05:30,132.4
05-04-2017 06:00,144
05-04-2017 06:30,157.8
05-04-2017 07:00,171.4
05-04-2017 07:30,186.4
05-04-2017 08:00,192.8
05-04-2017 08:30,200.7
05-04-2017 09:00,204.4
05-04-2017 09:30,229.9
05-04-2017 10:00,236.6
05-04-2017 10:30,228.2
05-04-2017 11:00,226.7
05-04-2017 11:30,237.7
05-04-2017 12:00,237.9
05-04-2017 12:30,240.8
05-04-2017 13:00,215.8
05-04-2017 13:30,241.3
05-04-2017 14:00,225.7
05-04-2017 14:30,241.3
05-04-2017 15:00,244.1
05-04-2017 15:30,246.8
05-04-2017 16:00,237.3
05-04-2017 16:30,221.1
05-04-2017 17:00,231.5
05-04-2017 17:30,219.8
05-04-2017 18:00,208.3
05-04-2017 18:30,158.6
05-04-2017 19:00,118.4
05-04-2017 19:30,107.8
05-04-2017 20:00,98.6
05-04-2017 20:30,99.4
05-04-2017 21:00,99.9
05-04-2017 21:30,98.5
05-04-2017 22:00,96.7
05-04-2017 22:30,94.6
05-04-2017 23:00,70.9
05-04-2017 23:30,49.4
06-04-2017 00:00,46.8
06-04-2017 00:30,46.1
06-04-2017 01:00,45.7
06-04-2017 01:30,46.3
06-04-2017 02:00,47.1
06-04-2017 02:30,45.4
06-04-2017 03:00,43.3
06-04-2017 03:30,43.1
06-04-2017 04:00,42.9
06-04-2017 04:30,42.6
06-04-2017 05:00,42.3
06-04-2017 05:30,125.3
06-04-2017 06:00,148.6
06-04-2017 06:30,160.1
06-04-2017 07:00,178.8
06-04-2017 07:30,183.7
06-04-2017 08:00,190.3
06-04-2017 08:30,197.4
06-04-2017 09:00,199.5
06-04-2017 09:30,200.9
06-04-2017 10:00,199.1
06-04-2017 10:30,228
06-04-2017 11:00,231.5
06-04-2017 11:30,229.7
06-04-2017 12:00,231.8
06-04-2017 12:30,209.5
06-04-2017 13:00,213.1
06-04-2017 13:30,221.2
06-04-2017 14:00,232.3
06-04-2017 14:30,237.8
06-04-2017 15:00,242
06-04-2017 15:30,244.4
06-04-2017 16:00,242.4
06-04-2017 16:30,240.1
06-04-2017 17:00,234.1
06-04-2017 17:30,223
06-04-2017 18:00,225.3
06-04-2017 18:30,155.4
06-04-2017 19:00,115.5
06-04-2017 19:30,105.3
06-04-2017 20:00,97.4
06-04-2017 20:30,96.3
06-04-2017 21:00,100.4
06-04-2017 21:30,97.5
06-04-2017 22:00,94.7
06-04-2017 22:30,90.9
06-04-2017 23:00,83.8
06-04-2017 23:30,53.5
07-04-2017 00:00,48.8
07-04-2017 00:30,48.8
07-04-2017 01:00,48.4
07-04-2017 01:30,48
07-04-2017 02:00,44.9
07-04-2017 02:30,44.6
07-04-2017 03:00,44.7
07-04-2017 03:30,45.3
07-04-2017 04:00,44.8
07-04-2017 04:30,44.3
07-04-2017 05:00,44.3
07-04-2017 05:30,132.7
07-04-2017 06:00,139.2
07-04-2017 06:30,142.4
07-04-2017 07:00,158.5
07-04-2017 07:30,179.8
07-04-2017 08:00,183.5
07-04-2017 08:30,191.9
07-04-2017 09:00,206.5
07-04-2017 09:30,219.1
07-04-2017 10:00,235.3
07-04-2017 10:30,235
07-04-2017 11:00,236.8
07-04-2017 11:30,237.3
07-04-2017 12:00,237.9
07-04-2017 12:30,239.2
07-04-2017 13:00,237.2
07-04-2017 13:30,241.6
07-04-2017 14:00,242.9
07-04-2017 14:30,244.5
07-04-2017 15:00,250.3
07-04-2017 15:30,250
